ApplicationID,ApplicationName,Description,ApplicationType,Owner,Tier3AI,StatusCode,EnvironmentID,HostingModel,RuntimeVersion,FrameworkVersion,DeploymentID,RepositoryURL,DockerImage,DockerRegistry,CriticalityCode,SLA,MaxResponseTimeMs,DataClassification,ComplianceFrameworks,DependsOnServices,DependsOnApplications,ExternalDependencies,MonitoringEnabled,AlertingEnabled,AutoScalingEnabled,MinInstances,MaxInstances,HealthCheckPath,HealthCheckInterval,Notes
APP-MLFLOW-001,MLflow API,MLflow experiment tracking,API,Samantha Turing,Samantha Turing,STS-004,ENV-005,HST-003,3.11,FastAPI 0.136.3,DEP-MLFLOW-001,trancendos.com/the-workshop/tranc3/workers/mlflow-service,mlflow-service:latest,self-hosted registry,CRT-001,99.9%,3000,DC-002,ITIL;SOC2,SRV-INF-001,APP-INF-001,None,TRUE,TRUE,FALSE,1,2,/health,30,"workers/mlflow-service port 8039 - owner inferred from worker.py's own docstring text, not the worker-map table - SLA/DataClassification are the P-tier default pattern"
APP-LITELLM-001,LiteLLM Proxy API,LiteLLM zero-cost AI proxy (x10 provider rotation),API,Unmapped,Unmapped,STS-004,ENV-005,HST-003,3.11,FastAPI 0.136.3,DEP-LITELLM-001,trancendos.com/the-workshop/tranc3/workers/litellm-service,litellm-service:latest,self-hosted registry,CRT-001,99.9%,3000,DC-002,ITIL;SOC2,SRV-INF-001,APP-INF-001,None,TRUE,TRUE,FALSE,1,2,/health,30,"workers/litellm-service port 8049 - Owner Unmapped, see 02_service_inventory.csv Notes - SLA/DataClassification are the P-tier default pattern"
APP-SENTINEL-001,Sentinel Station API,Sentinel Station - platform guardian,API,Unmapped,Unmapped,STS-004,ENV-005,HST-003,3.11,FastAPI 0.136.3,DEP-SENTINEL-001,trancendos.com/the-workshop/tranc3/workers/sentinel-station-service,sentinel-station-service:latest,self-hosted registry,CRT-001,99.9%,3000,DC-002,ITIL;SOC2,SRV-INF-001,APP-INF-001,None,TRUE,TRUE,FALSE,1,2,/health,30,"workers/sentinel-station-service port 8041 - Owner Unmapped, see 02_service_inventory.csv Notes - SLA/DataClassification are the P-tier default pattern"
APP-SWARM-001,Swarm Coordinator API,Swarm Coordinator - agent swarm management,API,Unmapped,Unmapped,STS-004,ENV-005,HST-003,3.11,FastAPI 0.136.3,DEP-SWARM-001,trancendos.com/the-workshop/tranc3/workers/swarm-coordinator-service,swarm-coordinator-service:latest,self-hosted registry,CRT-001,99.9%,3000,DC-002,ITIL;SOC2,SRV-INF-001,APP-INF-001,None,TRUE,TRUE,FALSE,1,2,/health,30,"workers/swarm-coordinator-service port 8109 - Owner Unmapped, see 02_service_inventory.csv Notes - health_entity_block port-argument bug fixed this session"
APP-DIMNEXUS-001,Dimensional Nexus API,Multi-dimensional data routing,API,Unmapped,Unmapped,STS-002,ENV-005,HST-003,3.11,FastAPI (unpinned - not deployed),DEP-DIMNEXUS-001,trancendos.com/the-workshop/tranc3/workers/dimensional-nexus-service,dimensional-nexus-service:buildable,self-hosted registry,CRT-002,95.0%,5000,DC-002,ITIL,SRV-INF-001,APP-INF-001,None,FALSE,FALSE,FALSE,0,0,/health,30,"Build now fixed and verified working end-to-end this session (Dimensional/nexus vendored, worker:app entrypoint, OTel import made optional) - still not deployed due to a real port 8050 collision with an undocumented blender-worker service already in docker-compose.production.yml - see 02_service_inventory.csv Notes"
APP-HIVE-001,Hive API (The HIVE),The HIVE - data movement / swarm coordination,API,The Queen,The Queen,STS-004,ENV-005,HST-003,3.11,FastAPI 0.136.3,DEP-HIVE-001,trancendos.com/the-workshop/tranc3/workers/hive-service,hive-service:latest,self-hosted registry,CRT-001,99.9%,3000,DC-002,ITIL;SOC2,SRV-INF-001,APP-INF-001,None,TRUE,TRUE,FALSE,1,2,/health,30,"All three build/routing bugs fixed and verified working end-to-end this session (Dimensional.hive vendored, port mismatch corrected, worker:app entrypoint) - see 02_service_inventory.csv Notes"
APP-IMAGINARIUM-001,Imaginarium API,Omni-creative masterpiece wizard,API,Voxx,Voxx,STS-004,ENV-005,HST-003,3.11,FastAPI 0.136.3,DEP-IMAGINARIUM-001,trancendos.com/the-workshop/tranc3/workers/imaginarium,imaginarium:latest,self-hosted registry,CRT-002,99.0%,3000,DC-002,ITIL,SRV-INF-001,APP-INF-001,None,TRUE,TRUE,FALSE,1,2,/health,30,"workers/imaginarium port 8064 - verified working - SLA/DataClassification are the P-tier default pattern"
APP-STUDIOWORKER-001,The Studio API (standalone worker),Central hub of the Creativity Center,API,Voxx,Voxx,STS-004,ENV-005,HST-003,3.11,FastAPI 0.136.3,DEP-STUDIOWORKER-001,trancendos.com/the-workshop/tranc3/workers/the-studio,the-studio:latest,self-hosted registry,CRT-002,99.0%,3000,DC-002,ITIL,SRV-INF-001,APP-INF-001,None,TRUE,TRUE,FALSE,1,2,/health,30,"workers/the-studio port 8069 - verified working - distinct from src/studio/ mounted on tranc3-backend, see 02_service_inventory.csv Notes - SLA/DataClassification are the P-tier default pattern"
APP-ACADEMY-001,The Academy API,Learning management system,API,Shimshi,Shimshi,STS-004,ENV-005,HST-003,3.11,FastAPI 0.136.3,DEP-ACADEMY-001,trancendos.com/the-workshop/tranc3/workers/the-academy,the-academy:latest,self-hosted registry,CRT-002,99.0%,3000,DC-002,ITIL;GDPR,SRV-INF-001,APP-INF-001,None,TRUE,TRUE,FALSE,1,2,/health,30,"workers/the-academy port 8056 - verified working - SLA/DataClassification are the P-tier default pattern"
APP-DUTCHY-001,The Dutchy API,Intelligence & market analysis,API,Predictive lore,Predictive lore,STS-004,ENV-005,HST-003,3.11,FastAPI 0.136.3,DEP-DUTCHY-001,trancendos.com/the-workshop/tranc3/workers/the-dutchy,the-dutchy:latest,self-hosted registry,CRT-002,99.0%,3000,DC-002,ITIL,SRV-INF-001,APP-INF-001,None,TRUE,TRUE,FALSE,1,2,/health,30,"workers/the-dutchy port 8057 - works in practice via compose PORT override, code-level default is dead/wrong (8061) - see 02_service_inventory.csv Notes - SLA/DataClassification are the P-tier default pattern"
APP-TURINGSHUB-001,Turing's Hub API,AI creation centre - personality/3D AI model builder,API,Samantha Turing,Samantha Turing,STS-004,ENV-005,HST-003,3.11,FastAPI 0.136.3,DEP-TURINGSHUB-001,trancendos.com/the-workshop/tranc3/workers/turings-hub-service,turings-hub-service:latest,self-hosted registry,CRT-002,99.0%,3000,DC-002,ITIL,SRV-INF-001,APP-INF-001,None,TRUE,TRUE,FALSE,1,2,/health,30,"workers/turings-hub-service port 8058 - three real bugs found and FIXED this session (broken COPY paths, port mismatch 8035-vs-8058, dead code default 8085) - see 02_service_inventory.csv Notes - SLA/DataClassification are the P-tier default pattern"
APP-TRANCEFLOW-001,TranceFlow API,3D modeling & games creation (Godot integration),API,Junior Cesar,Junior Cesar,STS-004,ENV-005,HST-003,3.11,FastAPI 0.136.3,DEP-TRANCEFLOW-001,trancendos.com/the-workshop/tranc3/workers/tranceflow,tranceflow:latest,self-hosted registry,CRT-002,99.0%,3000,DC-002,ITIL,SRV-INF-001,APP-INF-001,None,TRUE,TRUE,FALSE,1,2,/health,30,"workers/tranceflow port 8059 - verified working, Dockerfile/compose ports match exactly - code-level default (8067) is dead/wrong like the-dutchy's but harmless - SLA/DataClassification are the P-tier default pattern"
APP-LAB-001,The Lab API,Code creation platform,API,The Dr. & Slime,The Dr. & Slime,STS-004,ENV-005,HST-003,3.11,FastAPI 0.136.3,DEP-LAB-001,trancendos.com/the-workshop/tranc3/workers/the-lab,the-lab:latest,self-hosted registry,CRT-002,99.0%,3000,DC-002,ITIL,SRV-INF-001,APP-INF-001,None,TRUE,TRUE,FALSE,1,2,/health,30,"workers/the-lab port 8055 - verified working - SLA/DataClassification are the P-tier default pattern"
APP-LABSVC-001,The Lab Extended Service API,The Lab extended service layer,API,The Dr. & Slime,The Dr. & Slime,STS-004,ENV-005,HST-003,3.12,FastAPI (unpinned),DEP-LABSVC-001,trancendos.com/the-workshop/tranc3/workers/lab-service,lab-service:latest,self-hosted registry,CRT-002,99.0%,3000,DC-002,ITIL,SRV-LAB-001,APP-LAB-001,HuggingFace Inference API (free tier);OpenRouter (free models),TRUE,TRUE,FALSE,1,2,/health,30,"workers/lab-service port 8066 - verified working, correctly structured multi-file Dockerfile - SLA/DataClassification are the P-tier default pattern"
APP-LIBRARY-001,The Library API,Knowledge base and wiki,API,Zimik,Zimik,STS-004,ENV-005,HST-003,3.12,FastAPI (unpinned),DEP-LIBRARY-001,trancendos.com/the-workshop/tranc3/workers/library-service,library-service:latest,self-hosted registry,CRT-002,99.0%,3000,DC-002,ITIL;GDPR,SRV-INF-001,APP-INF-001,"Outline;BookStack;Wiki.js;Gollum;DokuWiki;MkDocs;Gitea;TiddlyWiki (rotation - self-hosted per design, not independently re-verified this session)",TRUE,TRUE,FALSE,1,2,/health,30,"workers/library-service port 8067 - verified working, correctly structured (COPY . .) - SLA/DataClassification are the P-tier default pattern"
APP-BASEMENT-001,The Basement API,Archived information store,API,Gary Glowman (Glow-Worm),Gary Glowman (Glow-Worm),STS-004,ENV-005,HST-003,3.11,FastAPI (unpinned),DEP-BASEMENT-001,trancendos.com/the-workshop/tranc3/workers/basement,basement:latest,self-hosted registry,CRT-003,95.0%,5000,DC-003,ITIL,SRV-OBS-001,APP-OBS-001,None,TRUE,TRUE,FALSE,1,1,/health,30,"workers/basement port 8068 - works via compose PORT override, code-level default is dead/wrong (8088) - see 02_service_inventory.csv Notes - SLA/DataClassification relaxed for archival role"
APP-DEVOCITY-001,DevOcity API,Development operations hub,API,Kitty,Kitty,STS-004,ENV-005,HST-003,3.11,FastAPI (unpinned),DEP-DEVOCITY-001,trancendos.com/the-workshop/tranc3/workers/devocity,devocity:latest,self-hosted registry,CRT-002,99.0%,3000,DC-002,ITIL,SRV-INF-001,APP-INF-001,None,TRUE,TRUE,FALSE,1,2,/health,30,"workers/devocity port 8110 - works via compose PORT override, code-level default is dead/wrong (8062) - see 02_service_inventory.csv Notes - SLA/DataClassification are the P-tier default pattern"
APP-WARPRADIO-001,Warp Radio API,Music & audio streaming integration,API,Rocking Ricki,Rocking Ricki,STS-004,ENV-005,HST-003,3.11,FastAPI (unpinned),DEP-WARPRADIO-001,trancendos.com/the-workshop/tranc3/workers/warp-radio,warp-radio:latest,self-hosted registry,CRT-003,95.0%,5000,DC-002,ITIL,SRV-INF-001,APP-INF-001,None,TRUE,TRUE,FALSE,1,2,/health,30,"workers/warp-radio port 8073 - works via compose PORT override, code-level default is dead/wrong (8057) - see 02_service_inventory.csv Notes - SLA/DataClassification relaxed for media/entertainment role"
APP-TAIMRA-001,tAimra API,Opt-in digital twin & life assistant,API,tAImra,tAImra,STS-004,ENV-005,HST-003,3.11,FastAPI (unpinned),DEP-TAIMRA-001,trancendos.com/the-workshop/tranc3/workers/taimra,taimra:latest,self-hosted registry,CRT-002,99.0%,3000,DC-004,ITIL;GDPR,SRV-INF-001,APP-INF-001,None,TRUE,TRUE,FALSE,1,2,/health,30,"workers/taimra port 8074 - works via compose PORT override, code-level default is dead/wrong (8065) - see 02_service_inventory.csv Notes - DataClassification Restricted given personal digital-twin data"
APP-IMIND-001,I-Mind API,Sensitivity to emotion engine,API,Elouise,Elouise,STS-004,ENV-005,HST-003,3.11,FastAPI (unpinned),DEP-IMIND-001,trancendos.com/the-workshop/tranc3/workers/imind,imind:latest,self-hosted registry,CRT-002,99.0%,3000,DC-003,ITIL;GDPR,SRV-INF-001,APP-INF-001,None,TRUE,TRUE,FALSE,1,2,/health,30,"workers/imind port 8075 - works via compose PORT override, code-level default is dead/wrong (8059) - see 02_service_inventory.csv Notes - SLA/DataClassification are the P-tier default pattern"
APP-RESONATE-001,Resonate API,Empathy engine,API,Magdalena,Magdalena,STS-004,ENV-005,HST-003,3.11,FastAPI (unpinned),DEP-RESONATE-001,trancendos.com/the-workshop/tranc3/workers/resonate,resonate:latest,self-hosted registry,CRT-002,99.0%,3000,DC-003,ITIL;GDPR,SRV-INF-001,APP-INF-001,None,TRUE,TRUE,FALSE,1,2,/health,30,"workers/resonate port 8076 - fully consistent, no bug found - SLA/DataClassification are the P-tier default pattern"
APP-TRANQUILITY-001,Tranquility API,Wellbeing central hub,API,Savania,Savania,STS-004,ENV-005,HST-003,3.11,FastAPI (unpinned),DEP-TRANQUILITY-001,trancendos.com/the-workshop/tranc3/workers/tranquility,tranquility:latest,self-hosted registry,CRT-002,99.0%,3000,DC-003,ITIL;GDPR,SRV-INF-001,APP-INF-001,None,TRUE,TRUE,FALSE,1,2,/health,30,"workers/tranquility port 8077 - works via compose PORT override, code-level default is dead/wrong (8058) - see 02_service_inventory.csv Notes - SLA/DataClassification are the P-tier default pattern"
APP-BACKUP-001,Backup Service API,Automated data backup,API,Unmapped,Unmapped,STS-004,ENV-005,HST-003,3.11,FastAPI (unpinned),DEP-BACKUP-001,trancendos.com/the-workshop/tranc3/workers/backup-service,backup-service:latest,self-hosted registry,CRT-001,99.9%,3000,DC-003,ITIL;SOC2,SRV-INF-001,APP-INF-001,None,TRUE,TRUE,FALSE,1,2,/health,30,"workers/backup-service port 8078 - unique repo-root Docker build context, correctly implemented - Owner Unmapped, see 02_service_inventory.csv Notes - SLA/DataClassification reflect backup infra's high-criticality nature"
APP-CHAOSPARTY-001,The Chaos Party API,Central testing platform - validation and compliance,API,The Mad Hatter,The Mad Hatter,STS-004,ENV-005,HST-003,3.11,FastAPI (unpinned),DEP-CHAOSPARTY-001,trancendos.com/the-workshop/tranc3/workers/chaos-party,chaos-party:latest,self-hosted registry,CRT-002,99.0%,3000,DC-002,ITIL,SRV-INF-001,APP-INF-001,None,TRUE,TRUE,FALSE,1,2,/health,30,"workers/chaos-party port 8079 - works via compose PORT override, code-level default is dead/wrong (8063) - see 02_service_inventory.csv Notes - SLA/DataClassification are the P-tier default pattern"
APP-FABULOUSA-001,Fabulousa API,Styling UX UI and design center,API,Baron Von Hilton,Baron Von Hilton,STS-004,ENV-005,HST-003,3.11,FastAPI (unpinned),DEP-FABULOUSA-001,trancendos.com/the-workshop/tranc3/workers/fabulousa-service,fabulousa-service:latest,self-hosted registry,CRT-002,99.0%,3000,DC-002,ITIL,SRV-INF-001,APP-INF-001,None,TRUE,TRUE,FALSE,1,2,/health,30,"workers/fabulousa-service port 8048 - fully consistent, no bug found - SLA/DataClassification are the P-tier default pattern"
APP-SASHASPHOTO-001,Sashas Photo Studio API,Photo and image generation center,API,Madam Krystal,Madam Krystal,STS-004,ENV-005,HST-003,3.11,FastAPI (unpinned),DEP-SASHASPHOTO-001,trancendos.com/the-workshop/tranc3/workers/sashas-photo-studio,sashas-photo-studio:latest,self-hosted registry,CRT-002,99.0%,3000,DC-002,ITIL,SRV-INF-001,APP-INF-001,None,TRUE,TRUE,FALSE,1,2,/health,30,"workers/sashas-photo-studio port 8062 - works via compose PORT override, code-level default is dead/wrong (8051) - see 02_service_inventory.csv Notes - SLA/DataClassification are the P-tier default pattern"
APP-TATEKING-001,TateKing API,Video creation and editing platform,API,Benji Tate & Sam King,Benji Tate & Sam King,STS-004,ENV-005,HST-003,3.11,FastAPI (unpinned),DEP-TATEKING-001,trancendos.com/the-workshop/tranc3/workers/tateking,tateking:latest,self-hosted registry,CRT-002,99.0%,5000,DC-002,ITIL,SRV-INF-001,APP-INF-001,None,TRUE,TRUE,FALSE,1,2,/health,30,"workers/tateking port 8061 - fully consistent, no bug found - SLA/DataClassification are the P-tier default pattern, MaxResponseTimeMs relaxed for video workloads"
APP-VRAR3D-001,VRAR3D API,Standalone 3D / VR immersion,API,Entari,Entari,STS-004,ENV-005,HST-003,3.12,FastAPI (unpinned),DEP-VRAR3D-001,trancendos.com/the-workshop/tranc3/workers/vrar3d,vrar3d:latest,self-hosted registry,CRT-002,99.0%,5000,DC-002,ITIL,SRV-INF-001,APP-INF-001,Sketchfab (SKETCHFAB_API_KEY - optional/unconfigured by default; not reviewed in config/zero_cost/providers.yaml),TRUE,TRUE,FALSE,1,2,/health,30,"workers/vrar3d port 8060 - two real bugs found and FIXED this session (port mismatch 8063-vs-8060, wrong env var name VRAR3D_PORT-vs-PORT) - see 02_service_inventory.csv Notes"
APP-INFVOID-001,Infinity Void Vault API,Self-hosted AES-256-GCM encrypted secrets vault,API,Prometheus,Prometheus,STS-004,ENV-005,HST-003,3.11,FastAPI 0.136.3,DEP-INFVOID-001,trancendos.com/the-workshop/tranc3/workers/infinity-void,infinity-void:latest,self-hosted registry,CRT-001,99.95%,500,DC-004,ITIL;SOC2;GDPR,SRV-INF-001,APP-INF-001,None,TRUE,TRUE,FALSE,1,2,/health,30,"workers/infinity-void port 8002 - verified working, self-contained, no import bugs - see 02_service_inventory.csv Notes for the three-way Void comparison"
APP-WS-001,Infinity WS API,The Nexus WebSocket hub - AI/Agent/Bot traffic,API,The Nexus,The Nexus,STS-004,ENV-005,HST-003,3.11,FastAPI 0.136.3,DEP-WS-001,trancendos.com/the-workshop/tranc3/workers/infinity-ws,infinity-ws:latest,self-hosted registry,CRT-001,99.9%,3000,DC-002,ITIL;SOC2,SRV-INF-001,APP-INF-001,None,TRUE,TRUE,FALSE,1,2,/health,30,"Was missing from the workbook entirely - added this session along with a fix for the same Dimensional.sanitize import bug already found in infinity-ai - see 02_service_inventory.csv Notes"
