ID,Tier,Type,Name,Location,Pillar,Description
NID-DUT-03,5,Bot 03,Crawler-Bot,The Dutchy,DevOps,Dispatches web agents to identify relevant API and tech changes.
NID-DUT-04,5,Bot 04,Whisper-Bot,The Dutchy,DevOps,Delivers summarized threat and trend alerts directly to strategic hubs.
AID-CTL-01,3,Lead AI,Trancendos,The Citadel,DevOps,Strategic Ops (Main fortress for Think Tank/R&D/Temporal nodes)
SID-CTL-01,4,Agent Alpha,The General,The Citadel,DevOps,"Directs high-level development priorities, adjusting assignments."
SID-CTL-02,4,Agent Beta,The Tactician,The Citadel,DevOps,Re-allocates team structures to meet immediate design objectives.
NID-CTL-01,5,Bot 01,Map-Bot,The Citadel,DevOps,"Projects system metrics on command dashboards, visualizing node relations."
NID-CTL-02,5,Bot 02,Compass-Bot,The Citadel,DevOps,"Highlights project priorities, guiding developmental focuses."
NID-CTL-03,5,Bot 03,Clock-Bot,The Citadel,DevOps,Coordinates cross-node releases to ensure aligned rollouts.
NID-CTL-04,5,Bot 04,Radio-Bot,The Citadel,DevOps,Broadcasts executive platform priorities directly to low-tier Agents.
AID-TNK-01,3,Lead AI,Trancendos,Think Tank,DevOps,R&D Centre
SID-TNK-01,4,Agent Alpha,The Professor,Think Tank,DevOps,Simulates untested programmatic changes to assess system impacts.
SID-TNK-02,4,Agent Beta,The Visionary,Think Tank,DevOps,Suggests structural updates and feature builds based on telemetry.
NID-TNK-01,5,Bot 01,Beaker-Bot,Think Tank,DevOps,"Handles lightweight, isolated experiment runtimes to test novel ideas."
NID-TNK-02,5,Bot 02,Bunsen-Bot,Think Tank,DevOps,"Runs performance limits tests, checking system thresholds."
NID-TNK-03,5,Bot 03,Pipette-Bot,Think Tank,DevOps,Collects minute execution metrics from experiment test runs.
NID-TNK-04,5,Bot 04,Petri-Bot,Think Tank,DevOps,Grows mock datasets to support testing operations.
AID-THB-01,3,Lead AI,Samantha Turing,Turing's Hub,DevOps,Central Creation Forge (3D Avatar & AI Entity Generation)
SID-THB-01,4,Agent Alpha,The Sculptor,Turing's Hub,DevOps,Designs and rigs detailed 3D virtual avatars and physical assets.
SID-THB-02,4,Agent Beta,The Geneticist,Turing's Hub,DevOps,"Outlines AI profiles, mapping personality metrics, skills, and tiers."
NID-THB-01,5,Bot 01,Wireframe-Bot,Turing's Hub,DevOps,Builds raw skeleton rigs to support fluid avatar movements.
NID-THB-02,5,Bot 02,Texture-Bot,Turing's Hub,DevOps,Maps high-fidelity styles and graphic materials onto 3D assets.
NID-THB-03,5,Bot 03,Vocoder-Bot,Turing's Hub,DevOps,"Synthesizes natural, human-sounding speech patterns for virtual avatars."
NID-THB-04,5,Bot 04,Optic-Bot,Turing's Hub,DevOps,Handles spatial recognition cameras to let avatars look and navigate correctly.
AID-CHR-01,3,Lead AI,Chronos,ChronosSphere / ArcStream,DevOps,"Task, Time and Scheduling Management"
SID-CHR-01,4,Agent Alpha,The Timekeeper,ChronosSphere / ArcStream,DevOps,Rearranges task backlogs and priorities to prevent bottlenecks.
SID-CHR-02,4,Agent Beta,The Time-Weaver,ChronosSphere / ArcStream,DevOps,Translates timeline parameters into interactive visual Gantt views.
NID-CHR-01,5,Bot 01,Tick-Bot,ChronosSphere / ArcStream,DevOps,Triggers routine cron jobs and automated calendar actions across platforms.
NID-CHR-02,5,Bot 02,Tock-Bot,ChronosSphere / ArcStream,DevOps,"Evaluates run times, flagging processes that run over temporal parameters."
NID-CHR-03,5,Bot 03,Pendulum-Bot,ChronosSphere / ArcStream,DevOps,"Manages state changes, supporting task rollbacks during troubleshooting."
NID-CHR-04,5,Bot 04,Sandglass-Bot,ChronosSphere / ArcStream,DevOps,"Monitors deadlines, safely shutting down operations that exceed time limits."
AID-DEV-01,3,Lead AI,Kitty,DevOcity,DevOps,Development Operations
SID-DEV-01,4,Agent Alpha,The Foreman,DevOcity,DevOps,"Coordinates deployment pipelines, checking safety metrics before pushes."
SID-DEV-02,4,Agent Beta,The Dispatcher,DevOcity,DevOps,"Launches automated server scaling, optimizing system allocations."
NID-DEV-01,5,Bot 01,Crane-Bot,DevOcity,DevOps,Deploys container setups seamlessly across cloud server hosts.
NID-DEV-02,5,Bot 02,Wrench-Bot,DevOcity,DevOps,Automatically fixes common connection or database issues during deployment.
NID-DEV-03,5,Bot 03,Gear-Bot,DevOcity,DevOps,Synchronizes container nodes to keep system speeds and instances consistent.
NID-DEV-04,5,Bot 04,Belt-Bot,DevOcity,DevOps,"Manages continuous compilation pipelines, guiding code from start to finish."
AID-TRQ-01,3,Lead AI,Savania,Tranquility,Wellbeing,Wellbeing Central Hub
SID-TRQ-01,4,Agent Alpha,The Guide,Tranquility,Wellbeing,"Screens user stress metrics, suggesting wellbeing sub-nodes for relief."
SID-TRQ-02,4,Agent Beta,The Healer,Tranquility,Wellbeing,"Directs relaxation routines, helping users reset focus after intense sessions."
NID-TRQ-01,5,Bot 01,Breath-Bot,Tranquility,Wellbeing,"Plays pacing animations to guide calm, measured breathing patterns."
NID-TRQ-02,5,Bot 02,Pulse-Bot,Tranquility,Wellbeing,Evaluates user inputs to suggest targeted relaxation periods throughout the day.
NID-TRQ-03,5,Bot 03,Calm-Bot,Tranquility,Wellbeing,"Decreases interface noise, dimming displays and silencing non-critical alerts."
NID-TRQ-04,5,Bot 04,Aura-Bot,Tranquility,Wellbeing,Adjusts ambient color backlighting across platforms to support user relaxation.
AID-IMD-01,3,Lead AI,Elouise,I-Mind,Wellbeing,Sensitivity to Emotion Engine
SID-IMD-01,4,Agent Alpha,The Counselor,I-Mind,Wellbeing,"Leads reflection sessions, parsing input to measure emotional fatigue."
SID-IMD-02,4,Agent Beta,The Listener,I-Mind,Wellbeing,Passively monitors workspace text patterns for high stress or frustration.
NID-IMD-01,5,Bot 01,Journal-Bot,I-Mind,Wellbeing,"Encrypts, parses, and securely logs thoughts to track personal emotional patterns."
NID-IMD-02,5,Bot 02,Mood-Bot,I-Mind,Wellbeing,Translates sentiment patterns into precise emotional sensitivity metrics on the UI.
NID-IMD-03,5,Bot 03,Reflect-Bot,I-Mind,Wellbeing,Retrieves past successful milestones to encourage the user during high-strain events.
NID-IMD-04,5,Bot 04,Soothe-Bot,I-Mind,Wellbeing,"Triggers local cognitive decompression, offering prompts when distress peaks."
AID-TMR-01,3,Lead AI,tAimra,tAimra,Wellbeing,Opt-in Digital Twin System & Life Assistant
SID-TMR-01,4,Agent Alpha,The Shadow,tAimra,Wellbeing,Mirrors daily habits to anticipate system and scheduling preferences.
SID-TMR-02,4,Agent Beta,The Scheduler,tAimra,Wellbeing,Adjusts calendar priorities proactively to carve out required rest breaks.
NID-TMR-01,5,Bot 01,Sync-Bot,tAimra,Wellbeing,"Pulls data securely from health platforms, applying strict HIPAA encryption."
NID-TMR-02,5,Bot 02,Fetch-Bot,tAimra,Wellbeing,Parses upcoming tasks to flag heavy scheduling days early for the user.
NID-TMR-03,5,Bot 03,Nudge-Bot,tAimra,Wellbeing,"Sends gentle notifications suggesting stretches, hydration, or posture breaks."
NID-TMR-04,5,Bot 04,Alert-Bot,tAimra,Wellbeing,"Warns users of upcoming tasks, giving them buffer time to finish current work."
AID-VR3-01,3,Lead AI,Entari,VRAR3D,Wellbeing,Standalone 3D / VR immersion
SID-VR3-01,4,Agent Alpha,World-Builder,VRAR3D,Wellbeing,"Renders calming, expansive three-dimensional therapeutic environments."
SID-VR3-02,4,Agent Beta,The VR-Guide,VRAR3D,Wellbeing,Leads users through structured spatial tasks within virtual relaxation areas.
NID-VR3-01,5,Bot 01,Render-Bot,VRAR3D,Wellbeing,"Manages display performance, keeping spatial environments smooth and fluid."
NID-VR3-02,5,Bot 02,Track-Bot,VRAR3D,Wellbeing,Translates head and hand actions into virtual movement inside scenes.
NID-VR3-03,5,Bot 03,Haptic-Bot,VRAR3D,Wellbeing,Controls controller rumble patterns to match virtual therapeutic activities.
NID-VR3-04,5,Bot 04,VR-Lens-Bot,VRAR3D,Wellbeing,"Adjusts focal dimensions, scaling imagery dynamically to reduce eye strain."
AID-RES-01,3,Lead AI,Magdalena,Resonate,Wellbeing,Empathy Engine
SID-RES-01,4,Agent Alpha,The Tuner,Resonate,Wellbeing,Translates emotional telemetry into micro-acoustic shifts matching baselines.
SID-RES-02,4,Agent Beta,The Balancer,Resonate,Wellbeing,"Screens system audio spikes, softening visual/auditory elements for comfort."
NID-RES-01,5,Bot 01,Frequency-Bot,Resonate,Wellbeing,Generates custom sound waves (pink/white/brown) to isolate sensory distractions.
NID-RES-02,5,Bot 02,Wave-Bot,Resonate,Wellbeing,Modulates therapeutic binaural beats to transition brainwaves to deep relaxation.
NID-RES-03,5,Bot 03,Pitch-Bot,Resonate,Wellbeing,"Regulates overall application tones, avoiding sharp frequencies that trigger anxiety."
NID-RES-04,5,Bot 04,Harmonic-Bot,Resonate,Wellbeing,Smoothly blends external audio playlists with active calming sounds securely.
